103		22/02/1998	001	007	009	049	054	057	1	28	2632	696.984,24	20.743,58	220,24	
104		01/03/1998	001	004	013	021	038	052	0	37	2588	0,00	14.006,33	199,85	
105		08/03/1998	003	013	031	043	046	049	0	55	4875	0,00	11.824,08	133,14	
106	Brasília, DF	15/03/1998	005	016	024	035	038	039	0	94	5390	0,00	7.678,27	133,65	
107		22/03/1998	002	004	016	024	051	052	0	35	3554	0,00	21.494,23	211,26	
108		29/03/1998	021	024	029	034	059	060	0	35	2453	0,00	22.511,72	320,57	
109		04/04/1998	001	013	044	048	049	054	0	39	3881	0,00	21.153,30	212,15	
110		11/04/1998	018	031	043	052	057	058	0	35	3212	0,00	27.771,48	302,01	
111		18/04/1998	004	022	025	032	033	052	0	68	6109	0,00	18.082,94	200,88	
112		25/04/1998	012	020	034	037	042	043	1	137	8340	15.802.579,93	9.957,01	163,25	
113		02/05/1998	007	026	028	034	054	055	0	38	2572	0,00	14.269,55	210,40	
114		09/05/1998	006	012	018	037	047	054	0	71	4908	0,00	9.626,08	138,99	
115		16/05/1998	004	006	014	020	024	038	0	78	5091	0,00	9.283,10	141,95	
116	BRASÍLIA, DF	23/05/1998	005	013	032	036	042	051	0	64	5270	0,00	11.956,28	144,91	
117		30/05/1998	020	025	027	033	042	053	0	36	3822	0,00	22.046,87	207,26	
118		06/06/1998	009	022	025	037	056	057	0	53	4342	0,00	16.052,88	195,56	
119		13/06/1998	001	021	036	038	047	050	0	21	2691	0,00	38.921,16	303,13	
120		20/06/1998	003	016	027	040	045	046	0	92	7073	0,00	13.020,97	169,04	
121		27/06/1998	002	029	041	044	053	055	0	45	4554	0,00	28.917,00	285,17	
122		04/07/1998	011	017	020	039	043	053	0	83	7203	0,00	18.210,45	209,43	
123		11/07/1998	013	014	016	026	032	042	0	176	13159	0,00	12.440,56	166,06	
124		18/07/1998	005	015	034	041	052	057	1	188	14019	24.536.288,72	17.242,12	230,76	
125		25/07/1998	025	041	047	053	056	059	0	46	2784	0,00	15.425,68	254,38	
126		01/08/1998	006	010	011	028	032	040	0	83	5510	0,00	10.052,56	151,13	
127		08/08/1998	021	029	050	051	054	059	0	40	2613	0,00	23.638,47	361,14	
128		15/08/1998	003	009	018	021	023	043	0	973	11715	0,00	1.024,41	84,91	
129	Brasília, DF	22/08/1998	001	009	010	032	046	054	0	67	5320	0,00	15.634,41	196,51	
130		29/08/1998	013	029	038	042	049	053	0	155	11403	0,00	11.796,24	160,03	
131		05/09/1998	004	009	017	027	030	044	0	361	21683	0,00	6.811,67	113,19	
132		12/09/1998	007	009	035	041	044	050	0	143	12179	0,00	20.846,64	244,29	
133		19/09/1998	005	006	019	034	039	057	1	431	29264	30.533.241,12	10.035,16	147,51	
134		26/09/1998	004	025	032	036	052	060	0	82	4575	0,00	10.253,38	183,42	
135		03/10/1998	021	022	035	040	053	059	0	40	3604	0,00	24.573,18	272,19	
136		10/10/1998	001	017	025	038	045	059	0	126	7403	0,00	8.435,36	143,29	
137		17/10/1998	015	016	019	022	026	049	0	88	6701	0,00	12.675,49	166,13	
138		24/10/1998	005	014	027	037	040	041	0	86	6953	0,00	14.074,36	173,74	
139		31/10/1998	003	013	026	027	041	042	2	179	9401	3.902.486,14	7.216,46	137,14	
140		07/11/1998	007	031	041	044	046	055	0	45	4945	0,00	36.581,33	332,24	
141		14/11/1998	010	013	022	041	042	058	0	119	10533	0,00	20.106,10	226,70	
142		21/11/1998	008	015	019	020	054	059	0	162	13991	0,00	18.143,56	209,66	
143		28/11/1998	006	018	020	040	050	053	0	144	10994	0,00	24.792,99	324,10	
144		05/12/1998	008	032	036	044	045	055	1	257	23952	33.597.755,21	20.952,14	224,38	
145		12/12/1998	015	016	031	041	043	051	0	71	3389	0,00	15.061,27	314,91	
146		19/12/1998	025	032	034	042	051	060	0	51	4079	0,00	23.923,45	298,52	
147		24/12/1998	006	016	023	024	028	038	1	75	5418	3.805.750,38	11.760,17	162,48	
148		31/12/1998	032	035	041	055	058	059	0	15	2322	0,00	53.660,04	345,95	
149	Brasília, DF	09/01/1999	007	011	020	028	045	048	0	106	6290	0,00	9.795,13	164,74	
150		16/01/1999	012	044	050	052	054	055	0	56	5540	0,00	36.378,71	367,00	
151		23/01/1999	003	016	020	043	052	056	1	152	9869	24.091.811,02	14.678,07	225,62	
152		30/01/1999	005	012	015	029	051	058	0	75	5041	0,00	11.562,39	172,03	
153		06/02/1999	002	030	031	042	045	047	0	47	4218	0,00	22.846,45	254,57	
154		13/02/1999	008	010	024	033	045	048	0	144	9252	0,00	7.888,29	122,78	
0,00	0,00	0,00	SIM	SIM	A MEGA ESTÁ ACUMULADA - Próximo Conc. 155, será dia 20/02/1999
155		20/02/1999	012	030	032	035	043	044	1	67	4974	4.988.808,21	16.126,32	217,22	
156		27/02/1999	017	023	042	049	052	055	0	74	4455	0,00	11.018,10	183,02	
157		06/03/1999	004	013	017	021	041	044	1	134	8894	2.140.030,92	7.224,03	108,84	
158		13/03/1999	004	014	017	043	051	058	0	31	3630	0,00	25.856,53	220,81	
159	Brasília, DF	20/03/1999	009	011	016	035	050	058	1	57	4124	2.038.170,67	15.735,49	217,49	
160	Sto. Antônio da Platina, PR	27/03/1999	002	013	042	052	054	058	0	74	6132	0,00	19.431,89	234,50	
161		03/04/1999	006	025	030	037	039	041	0	95	6865	0,00	14.430,61	199,69	
162		10/04/1999	021	023	033	038	048	051	0	92	7244	0,00	20.941,30	265,96	
163		17/04/1999	008	027	036	041	053	056	2	146	10793	8.975.833,36	15.657,23	211,80	
164		24/04/1999	004	010	014	019	028	044	0	111	8386	0,00	7.595,63	100,54	
165		01/05/1999	010	019	023	035	039	056	2	75	5378	1.044.444,54	11.968,35	166,91	
166		08/05/1999	012	013	022	057	059	060	0	47	3371	0,00	17.424,67	242,95	
167		15/05/1999	001	011	028	033	038	048	1	82	4997	2.100.980,21	11.364,11	186,48	
168		22/05/1999	002	009	031	035	045	050	0	48	3528	0,00	15.743,70	214,20	
169	Ourinhos, SP	29/05/1999	001	013	021	037	051	052	0	65	4489	0,00	13.679,08	198,07	
170		05/06/1999	007	041	046	051	055	058	0	50	6257	0,00	32.383,95	258,78	
171	Americana, SP	12/06/1999	004	027	040	043	046	054	1	134	10378	16.052.410,83	14.983,30	193,46	
172		19/06/1999	010	014	026	035	036	049	0	64	4592	0,00	13.460,12	186,89	
173		26/06/1999	017	028	029	042	049	050	1	40	3610	2.148.316,42	23.220,41	256,32	
174		03/07/1999	011	022	023	036	052	059	0	44	3217	0,00	17.846,85	243,18	
175		10/07/1999	001	010	013	020	042	050	0	114	7058	0,00	8.094,08	130,25	
176		17/07/1999	001	003	004	028	045	053	0	62	5405	0,00	16.696,39	190,80	
177	São Leopoldo, RS	24/07/1999	022	035	038	039	041	059	0	52	4408	0,00	21.716,29	255,21	
178		31/07/1999	005	015	019	026	027	033	1	198	13086	6.129.539,43	6.240,11	94,07	
179	Araraquara, SP	07/08/1999	005	006	023	026	027	053	0	78	5646	0,00	10.281,59	141,51	
180		14/08/1999	006	023	029	039	051	060	0	111	6978	0,00	15.907,98	252,09	
181	São Caetano do Sul, SP	21/08/1999	001	027	033	035	051	055	0	182	11797	0,00	11.127,07	171,02	
182		28/08/1999	003	005	010	028	046	060	0	239	17413	0,00	9.954,78	136,13	
183		04/09/1999	002	007	011	016	040	044	0	306	20677	0,00	9.468,79	139,60	
184	Presidente Prudente, SP	11/09/1999	009	016	021	034	041	060	0	217	15462	0,00	14.699,97	205,53	
185		18/09/1999	017	022	043	046	055	059	0	366	24849	0,00	12.275,86	180,13	
186		25/09/1999	014	023	024	025	026	051	0	352	31164	0,00	17.072,24	192,10	
187		02/10/1999	006	036	041	044	048	058	0	397	39365	0,00	23.058,35	231,66	
188	Salvador, BA	10/10/1999	017	027	034	042	043	046	1	1200	90235	64.905.517,65	11.517,11	152,58	
189	Passo Fundo, RS	16/10/1999	004	015	031	038	041	053	0	61	5485	0,00	23.476,18	260,09	
190		24/10/1999	005	010	021	032	040	042	0	304	21481	0,00	14.923,96	210,41	
191		31/10/1999	001	003	005	023	041	058	1	383	30477	50.968.412,58	13.212,41	165,41	
192		06/11/1999	001	026	028	041	054	060	0	53	4403	0,00	23.005,08	275,87	
193	CASCÁVEL, PR	13/11/1999	004	011	012	019	043	049	0	190	11415	0,00	7.199,87	119,39	
194	ERECHIM, RS	20/11/1999	025	028	032	033	042	043	0	106	7456	0,00	12.862,40	182,18	
195	PONTA GROSSA, PR	27/11/1999	003	009	017	032	037	044	1	339	13819	6.370.250,64	4.005,56	97,89	
196	PONTA GROSSA, PR	04/12/1999	007	009	014	017	024	032	0	182	10493	0,00	5.309,16	91,75	
197	MACEIÓ, AL	11/12/1999	005	012	015	019	029	052	0	128	8720	0,00	8.259,15	120,78	
198	MARINGÁ, PR	18/12/1999	001	008	018	023	035	040	0	125	7134	0,00	8.881,02	155,02	
199	SÃO PAULO, SP	24/12/1999	010	016	037	050	052	057	1	34	3143	4.915.593,20	28.316,55	305,16	
200		31/12/1999	012	015	019	034	044	051	2	186	13027	8.829.389,20	11.008,48	156,59	
201	BELO HORIZONTE, MG	08/01/2000	005	020	022	030	035	055	1	77	4502	1.038.373,94	11.237,81	191,48	
202	VITÓRIA, ES	15/01/2000	012	024	044	045	049	053	0	65	4279	0,00	12.412,65	187,85	
203	GUARAPARI, ES	22/01/2000	011	019	029	044	047	055	0	63	5417	0,00	14.099,33	163,36	
204	GUARUJÁ, SP	29/01/2000	029	031	039	041	051	058	0	32	2400	0,00	30.221,85	401,43	
205	BRASÍLIA, DF	05/02/2000	026	032	040	043	046	054	1	71	6014	4.490.339,49	15.208,03	178,86	
206	CURITIBA, PR	12/02/2000	018	020	026	034	051	056	0	43	3478	0,00	17.769,34	218,86	
207	FLORIANÓPOLIS, SC	19/02/2000	003	007	019	024	053	055	0	90	6510	0,00	9.663,76	133,10	
208	CAXIAS DO SUL, RS	26/02/2000	015	023	024	025	047	057	0	72	5232	0,00	12.679,18	173,83	
209	BALNEÁRIO CAMBORIÚ, SC	04/03/2000	013	021	026	032	041	052	0	81	5496	0,00	12.349,82	181,32	
210	BRASÍLIA, DF	11/03/2000	020	032	037	038	048	058	0	29	3921	0,00	46.721,17	344,24	
211	PALMAS, TO	18/03/2000	010	020	033	040	045	050	0	164	16680	0,00	10.880,27	106,58	
212	PORTO VELHO, RO	25/03/2000	006	015	029	045	057	059	0	147	9880	0,00	13.318,79	197,42	
